STNAME,CTYNAME,CENSUS2010POP,POPESTIMATE2019,BIRTHS2019,DEATHS2019
Arkansas,Franklin County,18125,17715,178,190
Arkansas,Fulton County,12245,12477,134,201
Arkansas,Garland County,96024,99386,1071,1347
Arkansas,Grant County,17853,18265,172,188
Arkansas,Greene County,42090,45325,587,505
Arkansas,Hempstead County,22609,21532,291,233
Arkansas,Hot Spring County,32923,33771,361,379
Arkansas,Howard County,13789,13202,172,171
Arkansas,Independence County,36647,37825,513,430
Arkansas,Izard County,13696,13629,119,188
Arkansas,Jackson County,17997,16719,187,206
Arkansas,Jefferson County,77435,66824,788,827
Arkansas,Johnson County,25540,26578,326,252
Arkansas,Lafayette County,7645,6624,61,94
Arkansas,Lawrence County,17415,16406,194,249
Arkansas,Lee County,10424,8857,81,120
Arkansas,Lincoln County,14134,13024,100,146
Arkansas,Little River County,13171,12259,136,176
Arkansas,Logan County,22353,21466,235,296
Arkansas,Lonoke County,68356,73309,858,690
Arkansas,Madison County,15717,16576,207,141
Arkansas,Marion County,16653,16694,141,278
Arkansas,Miller County,43462,43257,520,471
Arkansas,Mississippi County,46480,40651,580,498
Arkansas,Monroe County,8149,6701,67,114
Arkansas,Montgomery County,9487,8986,88,148
Arkansas,Nevada County,8997,8252,102,104
Arkansas,Newton County,8330,7753,84,108
Arkansas,Ouachita County,26120,23382,249,338
Arkansas,Perry County,10445,10455,117,138
Arkansas,Phillips County,21757,17782,267,255
Arkansas,Pike County,11291,10718,102,130
Arkansas,Poinsett County,24583,23528,310,334
Arkansas,Polk County,20662,19964,215,286
Arkansas,Pope County,61754,64072,765,593
Arkansas,Prairie County,8715,8062,80,116
Arkansas,Pulaski County,382748,391911,5067,3795
Arkansas,Randolph County,17969,17958,235,255
Arkansas,St. Francis County,28258,24994,305,315
Arkansas,Saline County,107118,122437,1280,1100
Arkansas,Scott County,11233,10281,112,117
Arkansas,Searcy County,8195,7881,73,111
Arkansas,Sebastian County,125744,127827,1780,1276
Arkansas,Sevier County,17058,17007,246,149
Arkansas,Sharp County,17264,17442,193,240
Arkansas,Stone County,12394,12506,111,166
Arkansas,Union County,41639,38682,480,550
Arkansas,Van Buren County,17295,16545,141,250
Arkansas,Washington County,203065,239187,3203,1599
Arkansas,White County,77076,78753,881,837
Arkansas,Woodruff County,7260,6320,70,102
Arkansas,Yell County,22185,21341,258,244
California,California,37253956,39512223,462617,282520
California,Alameda County,1510271,1671329,18628,10944
California,Alpine County,1175,1129,10,5
California,Amador County,38091,39752,307,427
California,Butte County,220000,219186,2422,2527
California,Calaveras County,45578,45905,397,528
California,Colusa County,21419,21547,282,129
California,Contra Costa County,1049025,1153526,12070,8478
California,Del Norte County,28610,27812,261,255
California,El Dorado County,181058,192843,1624,1699
California,Fresno County,930450,999101,14506,7467
California,Glenn County,28122,28393,371,251
California,Humboldt County,134623,135558,1352,1390
California,Imperial County,174528,181215,2728,1079
California,Inyo County,18546,18039,191,172
California,Kern County,839631,900202,13144,6478
California,Kings County,152982,152940,2321,887
California,Lake County,64665,64386,731,848
California,Lassen County,34895,30573,281,202
California,Los Angeles County,9818605,10039107,112963,68164
California,Madera County,150865,157327,2108,1060
California,Marin County,252409,258826,2149,1998
California,Mariposa County,18251,17203,149,180
California,Mendocino County,87841,86749,933,860
California,Merced County,255793,277680,4086,1787
California,Modoc County,9686,8841,71,100
California,Mono County,14202,14444,126,30
California,Monterey County,415057,434061,5797,2742
California,Napa County,136484,137744,1235,1279
California,Nevada County,98764,99755,778,986
California,Orange County,3010232,3175692,36406,21518
California,Placer County,348432,398329,3721,3480
California,Plumas County,20007,18807,157,213
California,Riverside County,2189641,2470546,29482,18148
California,Sacramento County,1418788,1552058,19192,12368
California,San Benito County,55269,62808,774,324
California,San Bernardino County,2035210,2180085,29341,15223
California,San Diego County,3095313,3338330,40603,23052
California,San Francisco County,805235,881549,8868,6359
California,San Joaquin County,685306,762148,9975,5838
California,San Luis Obispo County,269637,283111,2488,2465
California,San Mateo County,718451,766573,8425,5187
California,Santa Barbara County,423895,446499,5390,3288
California,Santa Clara County,1781642,1927852,21713,11258
California,Santa Cruz County,262382,273213,2540,1885
California,Shasta County,177223,180080,1977,2297
California,Sierra County,3240,3005,25,37
California,Siskiyou County,44900,43539,382,525
California,Solano County,413344,447643,5088,3711
California,Sonoma County,483878,494336,4509,4379
California,Stanislaus County,514453,550660,7393,4317
California,Sutter County,94737,96971,1267,834
California,Tehama County,63463,65084,739,661
California,Trinity County,13786,12285,118,161
California,Tulare County,442179,466195,7032,3209
California,Tuolumne County,55365,54478,466,621
