STNAME,CTYNAME,CENSUS2010POP,POPESTIMATE2019,BIRTHS2019,DEATHS2019
Illinois,DuPage County,916924,922921,10158,6595
Illinois,Edgar County,18576,17161,170,227
Illinois,Edwards County,6721,6395,74,59
Illinois,Effingham County,34242,34008,469,375
Illinois,Fayette County,22140,21336,228,218
Illinois,Ford County,14081,12961,145,186
Illinois,Franklin County,39561,38469,460,509
Illinois,Fulton County,37069,34340,321,463
Illinois,Gallatin County,5589,4828,40,79
Illinois,Greene County,13886,12969,131,153
Illinois,Grundy County,50063,51054,576,405
Illinois,Hamilton County,8457,8116,78,102
Illinois,Hancock County,19104,17708,178,198
Illinois,Hardin County,4320,3821,31,65
Illinois,Henderson County,7331,6646,63,95
Illinois,Henry County,50486,48913,479,543
Illinois,Iroquois County,29718,27114,292,359
Illinois,Jackson County,60218,56750,614,496
Illinois,Jasper County,9698,9610,114,93
Illinois,Jefferson County,38827,37684,452,445
Illinois,Jersey County,22985,21773,211,234
Illinois,Jo Daviess County,22678,21235,165,240
Illinois,Johnson County,12582,12417,101,144
Illinois,Kane County,515269,532403,6249,3464
Illinois,Kankakee County,113449,109862,1240,1167
Illinois,Kendall County,114736,128990,1473,580
Illinois,Knox County,52919,49699,559,620
Illinois,Lake County,703462,696535,7261,4780
Illinois,LaSalle County,113924,108669,1124,1252
Illinois,Lawrence County,16833,15678,145,198
Illinois,Lee County,36031,34096,338,376
Illinois,Livingston County,38950,35648,422,412
Illinois,Logan County,30305,28618,286,334
Illinois,McDonough County,32612,29682,258,296
Illinois,McHenry County,308760,307774,3090,2198
Illinois,McLean County,169572,171517,1877,1246
Illinois,Macon County,110768,104009,1258,1223
Illinois,Macoupin County,47765,44926,447,561
Illinois,Madison County,269282,262966,2804,2944
Illinois,Marion County,39437,37205,451,461
Illinois,Marshall County,12640,11438,117,151
Illinois,Mason County,14666,13359,127,175
Illinois,Massac County,15429,13772,138,178
Illinois,Menard County,12705,12196,122,127
Illinois,Mercer County,16434,15437,140,194
Illinois,Monroe County,32957,34637,359,319
Illinois,Montgomery County,30104,28414,301,365
Illinois,Morgan County,35547,33658,355,391
Illinois,Moultrie County,14846,14501,174,160
Illinois,Ogle County,53497,50643,525,495
Illinois,Peoria County,186494,179179,2445,1826
Illinois,Perry County,22350,20916,188,228
Illinois,Piatt County,16729,16344,173,159
Illinois,Pike County,16430,15561,194,176
Illinois,Pope County,4470,4177,25,39
Illinois,Pulaski County,6161,5335,56,75
Illinois,Putnam County,6006,5739,47,55
Illinois,Randolph County,33476,31782,320,379
Illinois,Richland County,16233,15513,162,187
Illinois,Rock Island County,147546,141879,1661,1543
Illinois,St. Clair County,270056,259686,3095,2723
Illinois,Saline County,24913,23491,278,343
Illinois,Sangamon County,197465,194672,2201,2101
Illinois,Schuyler County,7544,6768,54,93
Illinois,Scott County,5355,4951,43,47
Illinois,Shelby County,22363,21634,228,246
Illinois,Stark County,5994,5342,57,76
Illinois,Stephenson County,47711,44498,476,547
Illinois,Tazewell County,135394,131803,1375,1444
Illinois,Union County,17808,16653,173,224
Illinois,Vermilion County,81625,75758,918,945
Illinois,Wabash County,11947,11520,131,114
Illinois,Warren County,17707,16844,204,178
Illinois,Washington County,14716,13887,154,143
Illinois,Wayne County,16760,16215,187,211
Illinois,White County,14665,13537,132,199
Illinois,Whiteside County,58498,55175,610,649
Illinois,Will County,677560,690743,7311,4812
Illinois,Williamson County,66357,66597,716,769
Illinois,Winnebago County,295266,282572,3445,2928
Illinois,Woodford County,38664,38459,418,391
Indiana,Indiana,6483802,6732219,80711,62175
Indiana,Adams County,34387,35777,676,261
Indiana,Allen County,355329,379299,5155,3162
Indiana,Bartholomew County,76794,83779,1015,734
Indiana,Benton County,8854,8748,103,81
Indiana,Blackford County,12766,11758,115,163
Indiana,Boone County,56640,67843,764,469
Indiana,Brown County,15242,15092,117,153
Indiana,Carroll County,20155,20257,232,191
Indiana,Cass County,38966,37689,452,415
Indiana,Clark County,110232,118302,1436,1197
Indiana,Clay County,26890,26225,307,288
Indiana,Clinton County,33224,32399,422,320
Indiana,Crawford County,10713,10577,117,121
Indiana,Daviess County,31648,33351,539,327
Indiana,Dearborn County,50047,49458,457,457
Indiana,Decatur County,25740,26559,320,273
Indiana,DeKalb County,42223,43475,508,406
Indiana,Delaware County,117671,114135,1081,1187
Indiana,Dubois County,41889,42736,559,409
Indiana,Elkhart County,197559,206341,3054,1669
Indiana,Fayette County,24277,23102,271,285
Indiana,Floyd County,74578,78522,885,758
Indiana,Fountain County,17240,16346,184,180
Indiana,Franklin County,23087,22758,275,211
Indiana,Fulton County,20836,19974,230,207
Indiana,Gibson County,33503,33659,384,385
Indiana,Grant County,70061,65769,750,810
Indiana,Greene County,33165,31922,339,416
Indiana,Hamilton County,274569,338011,3832,1891
Indiana,Hancock County,70002,78168,846,631
Indiana,Harrison County,39364,40515,426,368
Indiana,Hendricks County,145448,170311,1731,1139
Indiana,Henry County,49462,47972,448,549
Indiana,Howard County,82752,82544,946,950
Indiana,Huntington County,37124,36520,411,390
Indiana,Jackson County,42376,44231,591,456
Indiana,Jasper County,33478,33562,362,331
Indiana,Jay County,21253,20436,277,226
Indiana,Jefferson County,32428,32308,372,350
Indiana,Jennings County,28525,27735,338,302
Indiana,Johnson County,139654,158167,1810,1299
Indiana,Knox County,38440,36594,390,394
Indiana,Kosciusko County,77358,79456,1029,724
Indiana,LaGrange County,37128,39614,727,261
Indiana,Lake County,496005,485493,5438,5029
Indiana,LaPorte County,111467,109888,1248,1215
Indiana,Lawrence County,46134,45370,465,563
Indiana,Madison County,131636,129569,1369,1445
Indiana,Marion County,903393,964582,14203,8190
Indiana,Marshall County,47051,46258,582,477
Indiana,Martin County,10334,10255,111,102
Indiana,Miami County,36903,35516,382,364
Indiana,Monroe County,137974,148431,1205,941
Indiana,Montgomery County,38124,38338,426,389
Indiana,Morgan County,68894,70489,780,675
Indiana,Newton County,14244,13984,129,142
Indiana,Noble County,47536,47744,632,455
Indiana,Ohio County,6128,5875,71,76
Indiana,Orange County,19840,19646,246,226
Indiana,Owen County,21575,20799,201,262
Indiana,Parke County,17339,16937,203,175
Indiana,Perry County,19338,19169,205,184
Indiana,Pike County,12845,12389,131,145
Indiana,Porter County,164343,170389,1618,1635
Indiana,Posey County,25910,25427,242,261
Indiana,Pulaski County,13402,12353,122,135
Indiana,Putnam County,37963,37576,356,344
Indiana,Randolph County,26171,24665,283,269
Indiana,Ripley County,28818,28324,343,300
Indiana,Rush County,17392,16581,183,184
Indiana,St. Joseph County,266931,271826,3429,2460
Indiana,Scott County,24181,23873,262,310
Indiana,Shelby County,44436,44729,492,442
Indiana,Spencer County,20952,20277,212,235
Indiana,Starke County,23363,22995,262,284
Indiana,Steuben County,34185,34594,336,348
Indiana,Sullivan County,21475,20669,207,209
Indiana,Switzerland County,10613,10751,110,109
Indiana,Tippecanoe County,172780,195732,2196,1204
Indiana,Tipton County,15936,15148,144,157
Indiana,Union County,7516,7054,66,66
Indiana,Vanderburgh County,179703,181451,2058,1889
Indiana,Vermillion County,16212,15498,170,199
Indiana,Vigo County,107848,107038,1192,1169
Indiana,Wabash County,32888,30996,306,406
Indiana,Warren County,8508,8265,86,84
Indiana,Warrick County,59689,62998,627,617
Indiana,Washington County,28262,28036,321,302
Indiana,Wayne County,68917,65884,757,866
Indiana,Wells County,27636,28296,321,246
Indiana,White County,24643,24102,291,282
Indiana,Whitley County,33292,33964,409,312
Iowa,Iowa,3046355,3155070,37672,28809
Iowa,Adair County,7682,7152,84,77
Iowa,Adams County,4029,3602,29,38
Iowa,Allamakee County,14330,13687,192,178
Iowa,Appanoose County,12887,12426,127,170
Iowa,Audubon County,6119,5496,60,63
Iowa,Benton County,26076,25645,280,263
Iowa,Black Hawk County,131090,131228,1660,1212
Iowa,Boone County,26306,26234,268,290
Iowa,Bremer County,24276,25062,271,218
Iowa,Buchanan County,20958,21175,267,199
Iowa,Buena Vista County,20260,19620,286,148
Iowa,Butler County,14867,14439,134,172
Iowa,Calhoun County,9670,9668,102,124
Iowa,Carroll County,20816,20165,237,224
Iowa,Cass County,13956,12836,141,182
Iowa,Cedar County,18499,18627,194,171
Iowa,Cerro Gordo County,44151,42450,442,495
Iowa,Cherokee County,12072,11235,112,163
Iowa,Chickasaw County,12439,11933,145,111
Iowa,Clarke County,9286,9395,124,106
Iowa,Clay County,16667,16016,201,163
Iowa,Clayton County,18129,17549,178,188
Iowa,Clinton County,49116,46429,508,518
Iowa,Crawford County,17096,16820,228,151
Iowa,Dallas County,66135,93453,1299,507
Iowa,Davis County,8753,9000,150,84
Iowa,Decatur County,8457,7870,98,79
Iowa,Delaware County,17764,17011,196,174
Iowa,Des Moines County,40325,38967,437,434
Iowa,Dickinson County,16667,17258,147,178
Iowa,Dubuque County,93653,97311,1136,907
Iowa,Emmet County,10302,9208,104,108
Iowa,Fayette County,20880,19650,214,228
Iowa,Floyd County,16303,15642,187,180
Iowa,Franklin County,10680,10070,117,107
Iowa,Fremont County,7441,6960,78,77
Iowa,Greene County,9336,8888,103,114
Iowa,Grundy County,12453,12232,124,134
Iowa,Guthrie County,10954,10689,112,117
Iowa,Hamilton County,15673,14773,170,178
Iowa,Hancock County,11341,10630,115,130
Iowa,Hardin County,17534,16846,169,210
Iowa,Harrison County,14928,14049,154,181
Iowa,Henry County,20145,19954,215,183
Iowa,Howard County,9566,9158,117,120
Iowa,Humboldt County,9815,9558,107,106
Iowa,Ida County,7089,6860,68,103
Iowa,Iowa County,16355,16184,182,182
Iowa,Jackson County,19848,19439,223,231
Iowa,Jasper County,36842,37185,406,378
Iowa,Jefferson County,16843,18295,158,185
Iowa,Johnson County,130882,151140,1730,765
Iowa,Jones County,20638,20681,200,202
Iowa,Keokuk County,10511,10246,121,103
Iowa,Kossuth County,15543,14813,164,152
Iowa,Lee County,35862,33657,370,398
Iowa,Linn County,211226,226706,2734,1801
Iowa,Louisa County,11387,11035,128,113
Iowa,Lucas County,8898,8600,118,91
Iowa,Lyon County,11581,11755,171,115
Iowa,Madison County,15679,16338,158,154
Iowa,Mahaska County,22381,22095,266,217
Iowa,Marion County,33309,33253,340,327
Iowa,Marshall County,40648,39369,514,478
Iowa,Mills County,15059,15109,137,134
Iowa,Mitchell County,10776,10586,129,123
Iowa,Monona County,9243,8615,86,137
Iowa,Monroe County,7970,7707,78,79
Iowa,Montgomery County,10740,9917,107,135
Iowa,Muscatine County,42745,42664,526,372
Iowa,O'Brien County,14398,13753,170,182
Iowa,Osceola County,6462,5958,59,67
Iowa,Page County,15932,15107,140,194
Iowa,Palo Alto County,9421,8886,106,108
Iowa,Plymouth County,24986,25177,276,231
Iowa,Pocahontas County,7310,6619,71,85
Iowa,Polk County,430640,490161,6750,3580
Iowa,Pottawattamie County,93158,93206,1110,941
Iowa,Poweshiek County,18914,18504,166,198
Iowa,Ringgold County,5131,4894,52,63
Iowa,Sac County,10350,9721,106,117
Iowa,Scott County,165224,172943,2069,1509
Iowa,Shelby County,12167,11454,110,132
Iowa,Sioux County,33704,34855,487,254
Iowa,Story County,89542,97117,872,526
Iowa,Tama County,17767,16854,219,193
Iowa,Taylor County,6317,6121,70,62
Iowa,Union County,12534,12241,130,138
Iowa,Van Buren County,7570,7044,88,96
Iowa,Wapello County,35625,34969,436,392
Iowa,Warren County,46225,51466,586,439
Iowa,Washington County,21704,21965,275,225
Iowa,Wayne County,6403,6441,80,88
Iowa,Webster County,38013,35904,421,418
Iowa,Winnebago County,10866,10354,95,119
Iowa,Winneshiek County,21056,19991,174,187
Iowa,Woodbury County,102172,103107,1390,900
Iowa,Worth County,7598,7381,77,69
Iowa,Wright County,13229,12562,154,161
Kansas,Kansas,2853118,2913314,35457,25230
Kansas,Allen County,13371,12369,138,161
Kansas,Anderson County,8102,7858,102,96
Kansas,Atchison County,16924,16073,162,170
Kansas,Barber County,4861,4427,50,48
Kansas,Barton County,27674,25779,271,304
Kansas,Bourbon County,15173,14534,175,146
Kansas,Brown County,9984,9564,125,121
Kansas,Butler County,65880,66911,731,637
Kansas,Chase County,2790,2648,18,14
Kansas,Chautauqua County,3669,3250,28,40
Kansas,Cherokee County,21603,19939,212,264
Kansas,Cheyenne County,2726,2657,28,43
Kansas,Clark County,2215,1994,23,22
Kansas,Clay County,8535,8002,92,106
Kansas,Cloud County,9533,8786,98,124
Kansas,Coffey County,8601,8179,96,84
Kansas,Comanche County,1891,1700,20,15
Kansas,Cowley County,36311,34908,393,413
Kansas,Crawford County,39134,38818,448,361
Kansas,Decatur County,2961,2827,31,39
Kansas,Dickinson County,19754,18466,198,199
Kansas,Doniphan County,7945,7600,69,71
Kansas,Douglas County,110826,122259,1107,687
Kansas,Edwards County,3037,2798,25,21
Kansas,Elk County,2882,2530,23,33
Kansas,Ellis County,28452,28553,294,248
Kansas,Ellsworth County,6497,6102,54,68
Kansas,Finney County,36776,36467,613,208
Kansas,Ford County,33848,33619,559,219
Kansas,Franklin County,25992,25544,295,250
Kansas,Geary County,34362,31670,851,187
Kansas,Gove County,2695,2636,27,35
Kansas,Graham County,2597,2482,19,38
Kansas,Grant County,7829,7150,108,34
Kansas,Gray County,6006,5988,94,41
Kansas,Greeley County,1247,1232,22,9
Kansas,Greenwood County,6689,5982,56,71
Kansas,Hamilton County,2690,2539,29,17
Kansas,Harper County,6034,5436,57,91
Kansas,Harvey County,34684,34429,372,332
Kansas,Haskell County,4256,3968,49,21
Kansas,Hodgeman County,1916,1794,17,25
Kansas,Jackson County,13462,13171,173,131
Kansas,Jefferson County,19126,19043,171,149
Kansas,Jewell County,3077,2879,31,34
Kansas,Johnson County,544179,602401,7125,4070
Kansas,Kearny County,3977,3838,59,23
Kansas,Kingman County,7858,7152,75,93
Kansas,Kiowa County,2553,2475,29,23
Kansas,Labette County,21607,19618,248,222
Kansas,Lane County,1750,1535,13,17
Kansas,Leavenworth County,76227,81758,940,639
Kansas,Lincoln County,3241,2962,21,36
Kansas,Linn County,9656,9703,90,121
Kansas,Logan County,2756,2794,41,19
Kansas,Lyon County,33690,33195,389,276
Kansas,McPherson County,29180,28542,305,336
Kansas,Marion County,12660,11884,107,142
Kansas,Marshall County,10117,9707,117,99
Kansas,Meade County,4575,4033,38,34
Kansas,Miami County,32787,34237,390,294
Kansas,Mitchell County,6373,5979,72,102
Kansas,Montgomery County,35471,31829,322,356
Kansas,Morris County,5923,5620,75,70
Kansas,Morton County,3233,2587,35,23
Kansas,Nemaha County,10178,10231,152,84
Kansas,Neosho County,16512,16007,182,171
Kansas,Ness County,3107,2750,14,36
Kansas,Norton County,5671,5361,51,62
Kansas,Osage County,16295,15949,170,209
Kansas,Osborne County,3858,3421,41,36
Kansas,Ottawa County,6091,5704,39,57
Kansas,Pawnee County,6973,6414,76,81
Kansas,Phillips County,5642,5234,49,64
Kansas,Pottawatomie County,21604,24383,347,195
Kansas,Pratt County,9656,9164,95,87
Kansas,Rawlins County,2519,2530,33,20
Kansas,Reno County,64511,61998,670,699
Kansas,Republic County,4980,4636,59,61
Kansas,Rice County,10083,9537,103,94
Kansas,Riley County,71115,74232,854,360
Kansas,Rooks County,5181,4920,49,70
Kansas,Rush County,3307,3036,28,27
Kansas,Russell County,6970,6856,71,95
Kansas,Saline County,55606,54224,682,500
Kansas,Scott County,4936,4823,58,59
Kansas,Sedgwick County,498365,516042,6705,4511
Kansas,Seward County,22952,21428,403,110
Kansas,Shawnee County,177934,176875,2002,1800
Kansas,Sheridan County,2556,2521,31,21
Kansas,Sherman County,6010,5917,72,74
Kansas,Smith County,3853,3583,41,39
Kansas,Stafford County,4437,4156,51,49
Kansas,Stanton County,2235,2006,29,20
Kansas,Stevens County,5724,5485,62,32
Kansas,Sumner County,24132,22836,249,252
Kansas,Thomas County,7900,7777,115,58
Kansas,Trego County,3001,2803,19,41
Kansas,Wabaunsee County,7053,6931,74,51
Kansas,Wallace County,1485,1518,17,9
Kansas,Washington County,5799,5406,72,85
Kansas,Wichita County,2234,2119,28,16
Kansas,Wilson County,9409,8525,107,110
Kansas,Woodson County,3309,3138,35,40
Kansas,Wyandotte County,157505,165429,2477,1423
Kentucky,Kentucky,4339367,4467673,53471,46074
Kentucky,Adair County,18656,19202,184,216
Kentucky,Allen County,19956,21315,239,242
Kentucky,Anderson County,21421,22747,252,211
Kentucky,Ballard County,8249,7888,76,98
Kentucky,Barren County,42173,44249,557,519
Kentucky,Bath County,11591,12500,194,161
Kentucky,Bell County,28691,26032,316,379
Kentucky,Boone County,118811,133581,1680,939
Kentucky,Bourbon County,19985,19788,208,235
Kentucky,Boyd County,49542,46718,493,597
Kentucky,Boyle County,28432,30060,310,317
Kentucky,Bracken County,8488,8303,97,100
Kentucky,Breathitt County,13878,12630,161,205
Kentucky,Breckinridge County,20059,20477,230,214
Kentucky,Bullitt County,74319,81676,777,653
Kentucky,Butler County,12690,12879,154,143
Kentucky,Caldwell County,12984,12747,139,164
Kentucky,Calloway County,37191,39001,359,407
Kentucky,Campbell County,90336,93584,1141,887
Kentucky,Carlisle County,5104,4760,53,48
Kentucky,Carroll County,10811,10631,141,125
Kentucky,Carter County,27720,26797,310,336
Kentucky,Casey County,15955,16159,185,202
Kentucky,Christian County,73955,70461,1466,627
Kentucky,Clark County,35613,36263,426,414
Kentucky,Clay County,21730,19901,239,245
Kentucky,Clinton County,10272,10218,121,109
Kentucky,Crittenden County,9315,8806,88,108
Kentucky,Cumberland County,6856,6614,67,104
Kentucky,Daviess County,96656,101511,1302,1044
Kentucky,Edmonson County,12161,12150,112,146
Kentucky,Elliott County,7852,7517,68,70
Kentucky,Estill County,14672,14106,139,187
Kentucky,Fayette County,295803,323152,3841,2405
Kentucky,Fleming County,14348,14581,199,161
Kentucky,Floyd County,39451,35589,416,522
Kentucky,Franklin County,49285,50991,605,539
Kentucky,Fulton County,6813,5969,54,90
Kentucky,Gallatin County,8589,8869,112,84
Kentucky,Garrard County,16912,17666,192,185
Kentucky,Grant County,24662,25069,363,250
Kentucky,Graves County,37121,37266,492,420
Kentucky,Grayson County,25746,26427,300,316
Kentucky,Green County,11258,10941,107,137
Kentucky,Greenup County,36910,35098,352,471
Kentucky,Hancock County,8565,8722,106,77
Kentucky,Hardin County,105543,110958,1443,972
Kentucky,Harlan County,29278,26010,298,400
Kentucky,Harrison County,18846,18886,234,218
Kentucky,Hart County,18199,19035,276,191
Kentucky,Henderson County,46250,45210,521,520
Kentucky,Henry County,15416,16126,181,166
Kentucky,Hickman County,4902,4380,35,63
Kentucky,Hopkins County,46920,44686,525,545
Kentucky,Jackson County,13494,13329,154,168
Kentucky,Jefferson County,741096,766757,9603,7744
Kentucky,Jessamine County,48586,54115,629,430
Kentucky,Johnson County,23356,22188,253,312
Kentucky,Kenton County,159720,166998,2236,1501
Kentucky,Knott County,16346,14806,142,205
Kentucky,Knox County,31883,31145,385,419
Kentucky,Larue County,14193,14398,174,157
Kentucky,Laurel County,58849,60813,724,673
Kentucky,Lawrence County,15860,15317,174,225
Kentucky,Lee County,7887,7403,72,98
Kentucky,Leslie County,11310,9877,95,163
Kentucky,Letcher County,24519,21553,233,310
Kentucky,Lewis County,13870,13275,164,164
Kentucky,Lincoln County,24742,24549,329,288
Kentucky,Livingston County,9519,9194,94,122
Kentucky,Logan County,26835,27102,360,307
Kentucky,Lyon County,8314,8210,45,122
Kentucky,McCracken County,65565,65418,734,823
Kentucky,McCreary County,18306,17231,191,192
Kentucky,McLean County,9531,9207,108,113
Kentucky,Madison County,82916,92987,984,767
Kentucky,Magoffin County,13333,12161,127,172
Kentucky,Marion County,19820,19273,236,197
Kentucky,Marshall County,31448,31100,296,435
Kentucky,Martin County,12929,11195,99,148
Kentucky,Mason County,17490,17070,208,190
Kentucky,Meade County,28602,28572,271,253
Kentucky,Menifee County,6306,6489,61,91
Kentucky,Mercer County,21331,21933,248,298
Kentucky,Metcalfe County,10099,10071,113,128
Kentucky,Monroe County,10963,10650,144,142
Kentucky,Montgomery County,26499,28157,350,291
Kentucky,Morgan County,13923,13309,105,158
Kentucky,Muhlenberg County,31499,30622,340,394
Kentucky,Nelson County,43437,46233,552,419
Kentucky,Nicholas County,7135,7269,84,96
Kentucky,Ohio County,23842,23994,279,271
Kentucky,Oldham County,60316,66799,606,414
Kentucky,Owen County,10841,10901,109,109
Kentucky,Owsley County,4755,4415,60,65
Kentucky,Pendleton County,14877,14590,179,164
Kentucky,Perry County,28712,25758,321,409
Kentucky,Pike County,65024,57876,583,808
Kentucky,Powell County,12613,12359,147,154
Kentucky,Pulaski County,63063,64979,755,791
Kentucky,Robertson County,2282,2108,22,22
Kentucky,Rockcastle County,17056,16695,164,243
Kentucky,Rowan County,23333,24460,268,215
Kentucky,Russell County,17565,17923,203,224
Kentucky,Scott County,47173,57004,702,437
Kentucky,Shelby County,42074,49024,550,389
Kentucky,Simpson County,17327,18572,228,180
Kentucky,Spencer County,17061,19351,205,147
Kentucky,Taylor County,24512,25769,324,302
Kentucky,Todd County,12460,12294,170,126
Kentucky,Trigg County,14339,14651,153,163
Kentucky,Trimble County,8809,8471,82,94
Kentucky,Union County,15007,14381,151,160
Kentucky,Warren County,113792,132896,1723,1000
Kentucky,Washington County,11717,12095,146,132
Kentucky,Wayne County,20813,20333,216,208
Kentucky,Webster County,13621,12942,178,142
Kentucky,Whitley County,35637,36264,528,473
Kentucky,Wolfe County,7355,7157,86,101
Kentucky,Woodford County,24939,26734,280,232
Louisiana,Louisiana,4533372,4648794,58498,46343
Louisiana,Acadia Parish,61773,62045,816,690
Louisiana,Allen Parish,25764,25627,315,242
Louisiana,Ascension Parish,107215,126604,1683,927
Louisiana,Assumption Parish,23421,21891,238,233
Louisiana,Avoyelles Parish,42073,40144,510,452
Louisiana,Beauregard Parish,35654,37497,531,412
Louisiana,Bienville Parish,14353,13241,142,207
Louisiana,Bossier Parish,116979,127039,1570,1119
Louisiana,Caddo Parish,254969,240204,3032,2739
Louisiana,Calcasieu Parish,192768,203436,2897,2050
Louisiana,Caldwell Parish,10132,9918,123,120
Louisiana,Cameron Parish,6839,6973,86,66
Louisiana,Catahoula Parish,10407,9494,106,115
Louisiana,Claiborne Parish,17195,15670,134,200
Louisiana,Concordia Parish,20822,19259,254,239
Louisiana,De Soto Parish,26656,27463,318,292
Louisiana,East Baton Rouge Parish,440171,440059,5739,3902
Louisiana,East Carroll Parish,7759,6861,82,66
Louisiana,East Feliciana Parish,20267,19135,196,233
Louisiana,Evangeline Parish,33984,33395,447,391
Louisiana,Franklin Parish,20767,20015,272,277
Louisiana,Grant Parish,22309,22389,239,192
Louisiana,Iberia Parish,73240,69830,914,777
Louisiana,Iberville Parish,33387,32511,351,313
Louisiana,Jackson Parish,16274,15744,160,220
Louisiana,Jefferson Parish,432552,432493,5577,4345
Louisiana,Jefferson Davis Parish,31594,31368,384,410
Louisiana,Lafayette Parish,221578,244390,3208,1999
Louisiana,Lafourche Parish,96318,97614,1148,907
Louisiana,LaSalle Parish,14890,14892,175,173
Louisiana,Lincoln Parish,46735,46742,516,417
Louisiana,Livingston Parish,128026,140789,1788,1170
Louisiana,Madison Parish,12093,10951,151,150
Louisiana,Morehouse Parish,27979,24874,330,346
Louisiana,Natchitoches Parish,39566,38158,468,398
Louisiana,Orleans Parish,343829,390144,4399,3640
Louisiana,Ouachita Parish,153720,153279,2046,1648
Louisiana,Plaquemines Parish,23042,23197,270,195
Louisiana,Pointe Coupee Parish,22802,21730,236,253
Louisiana,Rapides Parish,131613,129648,1636,1433
Louisiana,Red River Parish,9091,8442,114,127
Louisiana,Richland Parish,20725,20122,249,245
Louisiana,Sabine Parish,24233,23884,262,234
Louisiana,St. Bernard Parish,35897,47244,632,398
Louisiana,St. Charles Parish,52780,53100,571,446
Louisiana,St. Helena Parish,11203,10132,99,105
Louisiana,St. James Parish,22102,21096,279,226
Louisiana,St. John the Baptist Parish,45924,42837,534,421
Louisiana,St. Landry Parish,83384,82124,1111,1017
Louisiana,St. Martin Parish,52160,53431,663,537
Louisiana,St. Mary Parish,54650,49348,647,557
Louisiana,St. Tammany Parish,233740,260419,2822,2423
Louisiana,Tangipahoa Parish,121097,134758,1953,1383
Louisiana,Tensas Parish,5252,4334,47,56
Louisiana,Terrebonne Parish,111860,110461,1475,1125
Louisiana,Union Parish,22721,22108,230,249
Louisiana,Vermilion Parish,57999,59511,730,602
Louisiana,Vernon Parish,52334,47429,828,366
Louisiana,Washington Parish,47168,46194,600,635
Louisiana,Webster Parish,41207,38340,452,531
Louisiana,West Baton Rouge Parish,23788,26465,346,218
Louisiana,West Carroll Parish,11604,10830,92,149
Louisiana,West Feliciana Parish,15625,15568,124,120
Louisiana,Winn Parish,15313,13904,151,215
Maine,Maine,1328361,1344212,12073,14335
Maine,Androscoggin County,107702,108277,1208,1084
Maine,Aroostook County,71870,67055,613,865
Maine,Cumberland County,281674,295003,2716,2708
Maine,Franklin County,30768,30199,237,341
Maine,Hancock County,54418,54987,448,665
Maine,Kennebec County,122151,122302,1113,1390
Maine,Knox County,39736,39772,307,452
Maine,Lincoln County,34457,34634,307,425
Maine,Oxford County,57833,57975,461,697
Maine,Penobscot County,153923,152148,1378,1594
Maine,Piscataquis County,17535,16785,121,226
Maine,Sagadahoc County,35293,35856,313,402
Maine,Somerset County,52228,50484,457,543
Maine,Waldo County,38786,39715,330,446
Maine,Washington County,32856,31379,259,414
Maine,York County,197131,207641,1805,2083
Maryland,Maryland,5773552,6045680,70091,51453
Maryland,Allegany County,75087,70416,640,874
Maryland,Anne Arundel County,537656,579234,6782,4661
Maryland,Baltimore County,805029,827370,9598,8601
Maryland,Calvert County,88737,92525,892,722
Maryland,Caroline County,33066,33406,397,349
Maryland,Carroll County,167134,168447,1663,1615
Maryland,Cecil County,101108,102855,1130,1004
Maryland,Charles County,146551,163257,1847,1164
Maryland,Dorchester County,32618,31929,340,395
Maryland,Frederick County,233385,259547,2864,1859
Maryland,Garrett County,30097,29014,260,345
Maryland,Harford County,244826,255441,2601,2250
Maryland,Howard County,287085,325690,3447,1845
Maryland,Kent County,20197,19422,142,284
Maryland,Montgomery County,971777,1050688,12240,6344
Maryland,Prince George's County,863420,909327,12008,6852
Maryland,Queen Anne's County,47798,50381,497,427
Maryland,St. Mary's County,105151,113510,1319,874
Maryland,Somerset County,26470,25616,216,276
Maryland,Talbot County,37782,37181,338,478
Maryland,Washington County,147430,151049,1649,1619
Maryland,Wicomico County,98733,103609,1264,1066
Maryland,Worcester County,51454,52276,402,676
Maryland,Baltimore city,620961,593490,7555,6873
Massachusetts,Massachusetts,6547629,6892503,70419,58564
Massachusetts,Barnstable County,215888,212990,1524,2917
Massachusetts,Berkshire County,131219,124944,993,1460
Massachusetts,Bristol County,548285,565217,5701,5387
Massachusetts,Dukes County,16535,17332,171,146
Massachusetts,Essex County,743159,789034,8605,6946
Massachusetts,Franklin County,71372,70180,526,703
Massachusetts,Hampden County,463490,466372,4972,4536
Massachusetts,Hampshire County,158080,160830,976,1306
Massachusetts,Middlesex County,1503085,1611699,16755,11911
Massachusetts,Nantucket County,10172,11399,141,57
Massachusetts,Norfolk County,670850,706775,7148,5883
Massachusetts,Plymouth County,494919,521202,5173,4757
Massachusetts,Suffolk County,722023,803907,9219,5210
Massachusetts,Worcester County,798552,830622,8515,7345
Michigan,Michigan,9883640,9986857,109472,95983
Michigan,Alcona County,10942,10405,57,167
Michigan,Alger County,9601,9108,62,109
Michigan,Allegan County,111408,118081,1285,925
Michigan,Alpena County,29598,28405,280,342
Michigan,Antrim County,23580,23324,156,276
Michigan,Arenac County,15899,14883,110,206
Michigan,Baraga County,8860,8209,62,117
Michigan,Barry County,59173,61550,625,581
Michigan,Bay County,107771,103126,981,1163
Michigan,Benzie County,17525,17766,154,213
Michigan,Berrien County,156813,153401,1696,1688
